,comparison,doi,metric,score_earned,score_total
0,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-F1-01D,1,1
1,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-F1-02D,1,1
2,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-F2-01M,2,2
3,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-F3-01M,0,1
4,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-F4-01M,2,2
5,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-A1-01M,0,1
6,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-I1-01M,1,2
7,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-I2-01M,0,1
8,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-I3-01M,0,1
9,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-R1-01MD,1,4
10,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-R1.1-01M,2,2
11,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-R1.2-01M,1,2
12,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-R1.3-01M,0,1
13,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-R1.3-02D,0,1
14,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-A1-03D,0,1
15,http://orkg.org/orkg/resource/R140347,10.48366/r140347,FsF-A1-02M,1,1
16,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-F1-01D,1,1
17,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-F1-02D,1,1
18,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-F2-01M,2,2
19,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-F3-01M,0,1
20,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-F4-01M,2,2
21,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-A1-01M,0,1
22,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-I1-01M,1,2
23,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-I2-01M,0,1
24,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-I3-01M,0,1
25,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-R1-01MD,1,4
26,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-R1.1-01M,2,2
27,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-R1.2-01M,1,2
28,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-R1.3-01M,0,1
29,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-R1.3-02D,0,1
30,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-A1-03D,0,1
31,http://orkg.org/orkg/resource/R140449,10.48366/r140449,FsF-A1-02M,1,1
32,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-F1-01D,1,1
33,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-F1-02D,1,1
34,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-F2-01M,2,2
35,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-F3-01M,0,1
36,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-F4-01M,2,2
37,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-A1-01M,0,1
38,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-I1-01M,1,2
39,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-I2-01M,0,1
40,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-I3-01M,0,1
41,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-R1-01MD,1,4
42,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-R1.1-01M,2,2
43,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-R1.2-01M,1,2
44,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-R1.3-01M,0,1
45,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-R1.3-02D,0,1
46,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-A1-03D,0,1
47,http://orkg.org/orkg/resource/R140463,10.48366/r140463,FsF-A1-02M,1,1
48,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-F1-01D,1,1
49,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-F1-02D,1,1
50,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-F2-01M,2,2
51,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-F3-01M,0,1
52,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-F4-01M,2,2
53,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-A1-01M,0,1
54,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-I1-01M,1,2
55,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-I2-01M,0,1
56,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-I3-01M,0,1
57,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-R1-01MD,1,4
58,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-R1.1-01M,2,2
59,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-R1.2-01M,1,2
60,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-R1.3-01M,0,1
61,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-R1.3-02D,0,1
62,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-A1-03D,0,1
63,http://orkg.org/orkg/resource/R140465,10.48366/r140465,FsF-A1-02M,1,1
64,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-F1-01D,1,1
65,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-F1-02D,1,1
66,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-F2-01M,2,2
67,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-F3-01M,0,1
68,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-F4-01M,2,2
69,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-A1-01M,0,1
70,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-I1-01M,1,2
71,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-I2-01M,0,1
72,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-I3-01M,0,1
73,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-R1-01MD,1,4
74,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-R1.1-01M,2,2
75,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-R1.2-01M,1,2
76,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-R1.3-01M,0,1
77,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-R1.3-02D,0,1
78,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-A1-03D,0,1
79,http://orkg.org/orkg/resource/R140714,10.48366/r140714,FsF-A1-02M,1,1
80,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-F1-01D,1,1
81,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-F1-02D,1,1
82,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-F2-01M,2,2
83,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-F3-01M,0,1
84,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-F4-01M,2,2
85,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-A1-01M,0,1
86,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-I1-01M,1,2
87,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-I2-01M,0,1
88,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-I3-01M,0,1
89,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-R1-01MD,1,4
90,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-R1.1-01M,2,2
91,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-R1.2-01M,1,2
92,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-R1.3-01M,0,1
93,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-R1.3-02D,0,1
94,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-A1-03D,0,1
95,http://orkg.org/orkg/resource/R140726,10.48366/r140726,FsF-A1-02M,1,1
96,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-F1-01D,1,1
97,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-F1-02D,1,1
98,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-F2-01M,2,2
99,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-F3-01M,0,1
100,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-F4-01M,2,2
101,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-A1-01M,0,1
102,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-I1-01M,1,2
103,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-I2-01M,0,1
104,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-I3-01M,0,1
105,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-R1-01MD,1,4
106,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-R1.1-01M,2,2
107,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-R1.2-01M,1,2
108,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-R1.3-01M,0,1
109,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-R1.3-02D,0,1
110,http://orkg.org/orkg/resource/R141123,10.48366/r141123,FsF-A1-03D,0,1
