,resources,type_rsrc,type_other,assessment_summary
0,http://orkg.org/orkg/resource/R145348,http://orkg.org/orkg/class/Resource,http://orkg.org/orkg/class/Contribution,"[{'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_identifier_persistence', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'metadata_includes_license_weak', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'searchable', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}]"
1,http://orkg.org/orkg/resource/PWC_IMDB_REVIEWS_IN_SPANISH_BENCHMARK_DATASET,http://orkg.org/orkg/class/Resource,http://orkg.org/orkg/class/BENCHMARK_DATASET,"[{'metric': 'metadata_identifier_persistence', 'score': '0'}, {'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '0'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '0'}, {'metric': 'searchable', 'score': '0'}]"
2,http://orkg.org/orkg/resource/R66133,http://orkg.org/orkg/class/Resource,http://orkg.org/orkg/class/C0,"[{'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_identifier_persistence', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '0'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_includes_license_weak', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'searchable', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '0'}]"
3,http://orkg.org/orkg/resource/R140362,http://orkg.org/orkg/class/Resource,,"[{'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_identifier_persistence', 'score': '0'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '0'}, {'metric': 'searchable', 'score': '0'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '0'}]"
4,http://orkg.org/orkg/resource/R172616,http://orkg.org/orkg/class/Resource,http://orkg.org/orkg/class/C23006,"[{'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_identifier_persistence', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_contains_outward_links', 'score': '0'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '0'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'searchable', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '0'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}]"
5,http://orkg.org/orkg/resource/R157086,http://orkg.org/orkg/class/Resource,,"[{'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_identifier_persistence', 'score': '0'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'metadata_includes_license_weak', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_contains_outward_links', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'searchable', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '0'}]"
6,http://orkg.org/orkg/resource/R152180,http://orkg.org/orkg/class/Resource,http://orkg.org/orkg/class/C20077,"[{'metric': 'metadata_identifier_persistence', 'score': '0'}, {'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '0'}, {'metric': 'searchable', 'score': '0'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}]"
7,http://orkg.org/orkg/resource/R74854,http://orkg.org/orkg/class/Resource,http://orkg.org/orkg/class/TemplateComponentClass,
8,http://orkg.org/orkg/resource/R74184,http://orkg.org/orkg/class/Resource,,"[{'metric': 'metadata_identifier_persistence', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_includes_license_weak', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'searchable', 'score': '0'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}]"
9,http://orkg.org/orkg/resource/R76343,http://orkg.org/orkg/class/Resource,http://orkg.org/orkg/class/Contribution,
