,comparisons,doi
0,http://orkg.org/orkg/resource/R36099,10.48366/r36099
1,http://orkg.org/orkg/resource/R38484,10.48366/r38484
2,http://orkg.org/orkg/resource/R44930,10.48366/r44930
3,http://orkg.org/orkg/resource/R70212,10.48366/r70212
4,http://orkg.org/orkg/resource/R8342,10.48366/r8342
5,http://orkg.org/orkg/resource/R8364,10.48366/r8364
6,http://orkg.org/orkg/resource/R139551,10.48366/r139551
7,http://orkg.org/orkg/resource/R139845,10.48366/r139845
8,http://orkg.org/orkg/resource/R140131,10.48366/r140131
9,http://orkg.org/orkg/resource/R140347,10.48366/r140347
10,http://orkg.org/orkg/resource/R140449,10.48366/r140449
11,http://orkg.org/orkg/resource/R140463,10.48366/r140463
12,http://orkg.org/orkg/resource/R140465,10.48366/r140465
13,http://orkg.org/orkg/resource/R140714,10.48366/r140714
14,http://orkg.org/orkg/resource/R140726,10.48366/r140726
15,http://orkg.org/orkg/resource/R140805,10.48366/r140805
16,http://orkg.org/orkg/resource/R141123,10.48366/r141123
17,http://orkg.org/orkg/resource/R141317,10.48366/r141317
18,http://orkg.org/orkg/resource/R141336,10.48366/r141336
19,http://orkg.org/orkg/resource/R141349,10.48366/r141349
20,http://orkg.org/orkg/resource/R141369,10.48366/r141369
21,http://orkg.org/orkg/resource/R141385,10.48366/r141385
22,http://orkg.org/orkg/resource/R141810,10.48366/r141810
23,http://orkg.org/orkg/resource/R141811,10.48366/r141811
24,http://orkg.org/orkg/resource/R142850,10.48366/r142850
25,http://orkg.org/orkg/resource/R143746,10.48366/r143746
26,http://orkg.org/orkg/resource/R143853,10.48366/r143853
27,http://orkg.org/orkg/resource/R143856,10.48366/r143856
28,http://orkg.org/orkg/resource/R144148,10.48366/r144148
29,http://orkg.org/orkg/resource/R144251,10.48366/r144251
30,http://orkg.org/orkg/resource/R144512,10.48366/r144512
31,http://orkg.org/orkg/resource/R145951,10.48366/r145951
32,http://orkg.org/orkg/resource/R146851,10.48366/r146851
33,http://orkg.org/orkg/resource/R147040,10.48366/r147040
34,http://orkg.org/orkg/resource/R147152,10.48366/r147152
35,http://orkg.org/orkg/resource/R147167,10.48366/r147167
36,http://orkg.org/orkg/resource/R147183,10.48366/r147183
37,http://orkg.org/orkg/resource/R147196,10.48366/r147196
38,http://orkg.org/orkg/resource/R147317,10.48366/r147317
39,http://orkg.org/orkg/resource/R147365,10.48366/r147365
40,http://orkg.org/orkg/resource/R147449,10.48366/r147449
41,http://orkg.org/orkg/resource/R147507,10.48366/r147507
42,http://orkg.org/orkg/resource/R148381,10.48366/r148381
43,http://orkg.org/orkg/resource/R148382,10.48366/r148382
44,http://orkg.org/orkg/resource/R149849,10.48366/r149849
45,http://orkg.org/orkg/resource/R150337,10.48366/r150337
46,http://orkg.org/orkg/resource/R151005,10.48366/r151005
47,http://orkg.org/orkg/resource/R152727,10.48366/r152727
48,http://orkg.org/orkg/resource/R153801,10.48366/r153801
49,http://orkg.org/orkg/resource/R155154,10.48366/r155154
50,http://orkg.org/orkg/resource/R155191,10.48366/r155191
51,http://orkg.org/orkg/resource/R155248,10.48366/r155248
52,http://orkg.org/orkg/resource/R155445,10.48366/r155445
53,http://orkg.org/orkg/resource/R155526,10.48366/r155526
54,http://orkg.org/orkg/resource/R155543,10.48366/r155543
55,http://orkg.org/orkg/resource/R155561,10.48366/r155561
56,http://orkg.org/orkg/resource/R155584,10.48366/r155584
57,http://orkg.org/orkg/resource/R155800,10.48366/r155800
58,http://orkg.org/orkg/resource/R157074,10.48366/r157074
59,http://orkg.org/orkg/resource/R157076,10.48366/r157076
60,http://orkg.org/orkg/resource/R160149,10.48366/r160149
61,http://orkg.org/orkg/resource/R160168,10.48366/r160168
62,http://orkg.org/orkg/resource/R160174,10.48366/r160174
63,http://orkg.org/orkg/resource/R160189,10.48366/r160189
64,http://orkg.org/orkg/resource/R160205,10.48366/r160205
65,http://orkg.org/orkg/resource/R160527,10.48366/r160527
66,http://orkg.org/orkg/resource/R160596,10.48366/r160596
67,http://orkg.org/orkg/resource/R160597,10.48366/r160597
68,http://orkg.org/orkg/resource/R160742,10.48366/r160742
69,http://orkg.org/orkg/resource/R160768,10.48366/r160768
70,http://orkg.org/orkg/resource/R161079,10.48366/r161079
71,http://orkg.org/orkg/resource/R161787,10.48366/r161787
72,http://orkg.org/orkg/resource/R164670,10.48366/r164670
73,http://orkg.org/orkg/resource/R165700,10.48366/r165700
74,http://orkg.org/orkg/resource/R165702,10.48366/r165702
75,http://orkg.org/orkg/resource/R165794,10.48366/r165794
76,http://orkg.org/orkg/resource/R165866,10.48366/r165866
77,http://orkg.org/orkg/resource/R166315,10.48366/r166315
78,http://orkg.org/orkg/resource/R172690,10.48366/r172690
79,http://orkg.org/orkg/resource/R178164,10.48366/r178164
80,http://orkg.org/orkg/resource/R68121,10.48366/r68121
81,http://orkg.org/orkg/resource/R68535,10.48366/r68535
82,http://orkg.org/orkg/resource/R69680,10.48366/r69680
83,http://orkg.org/orkg/resource/R73210,10.48366/r73210
84,http://orkg.org/orkg/resource/R74529,10.48366/r74529
85,http://orkg.org/orkg/resource/R74541,10.48366/r74541
86,http://orkg.org/orkg/resource/R74774,10.48366/r74774
87,http://orkg.org/orkg/resource/R75093,10.48366/r75093
88,http://orkg.org/orkg/resource/R75140,10.48366/r75140
89,http://orkg.org/orkg/resource/R75439,10.48366/r75439
90,http://orkg.org/orkg/resource/R75673,10.48366/r75673
91,http://orkg.org/orkg/resource/R75729,10.48366/r75729
92,http://orkg.org/orkg/resource/R76052,10.48366/r76052
93,http://orkg.org/orkg/resource/R76054,10.48366/r76054
94,http://orkg.org/orkg/resource/R76129,10.48366/r76129
95,http://orkg.org/orkg/resource/R76284,10.48366/r76284
96,http://orkg.org/orkg/resource/R76297,10.48366/r76297
