,paper,doi,research_field_label
0,http://orkg.org/orkg/resource/R1004,10.1186/s12866-016-0676-9,Bioinformatics
1,http://orkg.org/orkg/resource/R107618,10.1007/s11423-020-09885-z,Learner-Interface Interaction
2,http://orkg.org/orkg/resource/R107663,10.1111/1467-8535.00213,Learner-Interface Interaction
3,http://orkg.org/orkg/resource/R107834,10.32870/Ap.v12n2.1910,Learner-Interface Interaction
4,http://orkg.org/orkg/resource/R107843,10.19173/irrodl.v4i2.149 ,Learner-Interface Interaction
5,http://orkg.org/orkg/resource/R108529,10.1145/3201064.3201083,Computer Sciences
6,http://orkg.org/orkg/resource/R108704,10.1094/pdis-02-15-0236-re,Plant Pathology
7,http://orkg.org/orkg/resource/R108713,10.1007/s10658-014-0409-6,Plant Pathology
8,http://orkg.org/orkg/resource/R108865,10.1186/s12859-019-3284-5,Bioinformatics
9,http://orkg.org/orkg/resource/R109012,10.1145/3307339.3342161,Bioinformatics
10,http://orkg.org/orkg/resource/R109018,10.1016/j.jbi.2017.04.021,Bioinformatics
11,http://orkg.org/orkg/resource/R109029,10.1073/pnas.1803294115,Bioinformatics
12,http://orkg.org/orkg/resource/R109037,10.1093/bib/bbaa256,Bioinformatics
13,http://orkg.org/orkg/resource/R109373,10.3390/microorganisms8081250,Bioinformatics
14,http://orkg.org/orkg/resource/R109377,10.1016/j.jpha.2020.03.009,Bioinformatics
15,http://orkg.org/orkg/resource/R109651,10.1016/j.cose.2021.102225,Computer Sciences
16,http://orkg.org/orkg/resource/R109656,10.1080/08839514.2020.1782002,Computer Sciences
17,http://orkg.org/orkg/resource/R109659,10.5120/ijca2019919215,Computer Sciences
18,http://orkg.org/orkg/resource/R109662,10.5120/ijca2018917688,Computer Sciences
19,http://orkg.org/orkg/resource/R109665,10.1016/j.eswa.2020.113864,Computer Sciences
20,http://orkg.org/orkg/resource/R109668,10.1016/j.knosys.2017.09.014,Computer Sciences
21,http://orkg.org/orkg/resource/R109671,10.1016/j.compeleceng.2020.106742,Computer Sciences
22,http://orkg.org/orkg/resource/R109723,10.1080/10494820.2020.1753216,Learner-Interface Interaction
23,http://orkg.org/orkg/resource/R109999,10.1007/978-3-030-67716-9_21,Learner-Interface Interaction
24,http://orkg.org/orkg/resource/R110184,10.1007/s10924-020-01770-3,Biotechnology
25,http://orkg.org/orkg/resource/R110195,10.1016/j.ijbiomac.2015.02.009,Biotechnology
26,http://orkg.org/orkg/resource/R110203,10.1016/j.ijbiomac.2019.09.063,Biotechnology
27,http://orkg.org/orkg/resource/R110770,10.1021/acs.analchem.5b04804,Analytical Chemistry
28,http://orkg.org/orkg/resource/R110858,10.1016/j.poly.2017.06.047,Inorganic Chemistry
29,http://orkg.org/orkg/resource/R110913,10.1021/acs.inorgchem.1c00798,Inorganic Chemistry
30,http://orkg.org/orkg/resource/R110929,10.1016/j.ccr.2016.01.009,Inorganic Chemistry
31,http://orkg.org/orkg/resource/R110941,10.1021/jo501364b,Organic Chemistry
